DrugID	smi
D0D7EK	CC(CNCC1=CC=CC=C1)N2CC(N(C2=S)CCC3=CC(=CC=C3)F)CCCN=C(N)N
D09KEB	CC1=CC(=CC=C1)NC2=NC(=NC=C2C(=O)N)NC3CCCCC3N
D0TD2F	C1CCC(CC1)CC(C(CC(=O)NCCN2CCOCC2)O)NC(=O)C(CC3=CSC=N3)NC(=O)C(CC4=CC=CC5=CC=CC=C54)CC(=O)N6CCOCC6
D03FIE	CCNC(=S)NC1=NC2=NC(=CN=C2C=C1)NC3=CC(=C(C(=C3)OC)OC)OC
D09DGE	C1=C(C(=O)C2=C(N=CN=C2N1C3C(C(C(O3)CO)O)O)N)C(=O)N
D0T4QX	CC1=C(N=C(N1C2=CC=C(C=C2)OC(F)(F)F)C)C#CC3=CC(=NC=C3)Cl
D09DDQ	CCOCCCC1=CN=CN1
D0W5IF	CC1(C(=O)N(C(=S)N1CCCS(=O)(=O)N)C2=CC(=C(C=C2)C#N)Cl)C
D02MXT	CC1=C(C(=C(S1)C)C(=O)NC2(CC2)C3=CC=C(C=C3)C(=O)O)CC4=CC=C(C=C4)C(F)(F)F
D09ENZ	CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O
D0CI9W	CC(C)N1CCCN(CC1)C(=O)C2CCN(CC2)C3=CN=C(C=C3)C(F)(F)F
D04KFR	CN1CCN(CC1)C(=O)C2CCN(CC2)S(=O)(=O)C3=CC(=C(C=C3)NCC(C4=CC=CC=C4)C5=CC=CC=C5)C(=O)N6CCOCC6
D0E5VP	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N5CC5)OC)N4C)N
D0F3FC	C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O
D07JKA	C1COCCN1C2=CC(=CC=C2)OC3=CN=C(N=C3)NC4=CC(=C(C=C4)F)C#N
D09PNV	CCCCCN(CCCOC)C(=O)C(CCC(=O)O)CS(=O)(=O)C1=CC2=CC=CC=C2C=C1.C(CC(C(=O)O)N)CN=C(N)N.O
D0A7XQ	C1=CC(=CC=C1CSCC(=O)C2=CC=C(C=C2)C(=O)O)Br
D00TBD	CC1=C(NC(=C1C(=O)N2CCCC2CN3CCCC3)C)C=C4C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O
D03TTT	C1CC(=NO)C2=C1C=C(C=C2)C3=CN(N=C3C4=CC=NC=C4)CCO
D0T4SJ	COC1=C(C=C2C3=C(C=C4C=CC(=CC4=C31)O)NC2=O)O
D02CCA	C1CC1C(C2=CC=CC=C2)NC(=O)C3=C(C(=NC4=CC=CC=C43)C5=CC(=CC=C5)F)N
D0C0ZC	CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(C)(C)C#N)NC3=CC4=C(C=C3)N=CN(C4=O)C
D0G0BJ	CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N
D0CR9I	C#CC1=CC(=CC=C1)NC2=NC3=C(C=CC(=C3)C(=O)[O-])C4=CN=CN=C42.[Na+]
D0PP5M	C1=CC=C(C=C1)OC2=CC=CC(=C2)CCCC(P(=O)([O-])[O-])S(=O)(=O)[O-].[K+].[K+].[K+]
D0NJ3Q	CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl
D0HK3U	CCN(CC1=C(C=CC(=C1)C(F)(F)F)C2=C(C=CC(=C2)CC(=O)[O-])OC)C(=O)C3CC3.[Na+]
D0J9PK	C1CC(CCC1C2=NC(=C3N2C=CN=C3N)C4=CC5=C(N4)C(=CC=C5)Cl)C(=O)O
D0YD9E	COC1=CC=C(C=C1)C(=O)N2CCC(C2)(COC3=CC=C(C=C3)C4=CC=C(C=C4)C#N)C(=O)O
D0R6OM	COCC1=C(N2C(=C1C3=CC(=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F)F)C(=NC=N2)N)CN5CCOCC5
D05TKO	COC(=O)C1=C2CN(CCN2C(=N1)C(F)(F)F)C(=O)CC(CC3=CC(=C(C=C3F)F)F)N
D0V7PX	CC1=CC2=C(C(=C(C=C2C(=C1C3=C(C4=CC(=C(C(=C4C=C3C)C(C)C)O)O)O)O)O)O)C(C)C
D0V6DF	C=C(CNN)C1=CC=CC=C1
D0Y6MD	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCN4CCOCC4
D0L1BS	CN(C)C(=O)C(CN1CCC2(CC1)C3=C(CO2)C=CC(=C3)F)CN4C=C(C=N4)Cl
